;longitude;latitude;level;time;nh3_conc
0;359.8500061035156;42.75;50.0;0 days 00:00:00;0.052584603
1;359.8500061035156;42.75;50.0;0 days 01:00:00;0.03811529
2;359.8500061035156;42.650001525878906;50.0;0 days 00:00:00;0.14229506
3;359.8500061035156;42.650001525878906;50.0;0 days 01:00:00;0.10984191
4;359.8500061035156;42.54999923706055;50.0;0 days 00:00:00;0.5069509
5;359.8500061035156;42.54999923706055;50.0;0 days 01:00:00;0.3672458
6;359.8500061035156;42.45000076293945;50.0;0 days 00:00:00;0.4007239
7;359.8500061035156;42.45000076293945;50.0;0 days 01:00:00;0.42919356
8;359.8500061035156;42.349998474121094;50.0;0 days 00:00:00;0.26038903
9;359.8500061035156;42.349998474121094;50.0;0 days 01:00:00;0.47588956
10;359.8500061035156;42.25;50.0;0 days 00:00:00;0.32335645
11;359.8500061035156;42.25;50.0;0 days 01:00:00;0.3248779
12;359.8500061035156;42.150001525878906;50.0;0 days 00:00:00;0.45006043
13;359.8500061035156;42.150001525878906;50.0;0 days 01:00:00;0.4491465
14;359.8500061035156;42.04999923706055;50.0;0 days 00:00:00;0.5009078
15;359.8500061035156;42.04999923706055;50.0;0 days 01:00:00;0.5359304
16;359.8500061035156;41.95000076293945;50.0;0 days 00:00:00;0.65574837
17;359.8500061035156;41.95000076293945;50.0;0 days 01:00:00;0.7020757
18;359.8500061035156;41.849998474121094;50.0;0 days 00:00:00;0.5253336
19;359.8500061035156;41.849998474121094;50.0;0 days 01:00:00;0.5718199
20;359.8500061035156;41.75;50.0;0 days 00:00:00;0.35559288
21;359.8500061035156;41.75;50.0;0 days 01:00:00;0.46992898
22;359.8500061035156;41.650001525878906;50.0;0 days 00:00:00;0.30715698
23;359.8500061035156;41.650001525878906;50.0;0 days 01:00:00;0.4094547
24;359.8500061035156;41.54999923706055;50.0;0 days 00:00:00;0.33934632
25;359.8500061035156;41.54999923706055;50.0;0 days 01:00:00;0.40896708
26;359.8500061035156;41.45000076293945;50.0;0 days 00:00:00;0.34586734
27;359.8500061035156;41.45000076293945;50.0;0 days 01:00:00;0.4865548
28;359.8500061035156;41.349998474121094;50.0;0 days 00:00:00;0.47227287
29;359.8500061035156;41.349998474121094;50.0;0 days 01:00:00;0.568324
30;359.8500061035156;41.25;50.0;0 days 00:00:00;0.5114318
31;359.8500061035156;41.25;50.0;0 days 01:00:00;0.62665606
32;359.8500061035156;41.150001525878906;50.0;0 days 00:00:00;0.49766767
33;359.8500061035156;41.150001525878906;50.0;0 days 01:00:00;0.5765344
34;359.8500061035156;41.04999923706055;50.0;0 days 00:00:00;0.43142024
35;359.8500061035156;41.04999923706055;50.0;0 days 01:00:00;0.49008796
36;359.8500061035156;40.95000076293945;50.0;0 days 00:00:00;0.34776095
37;359.8500061035156;40.95000076293945;50.0;0 days 01:00:00;0.52137583
38;359.95001220703125;42.75;50.0;0 days 00:00:00;0.04628653
39;359.95001220703125;42.75;50.0;0 days 01:00:00;0.036587622
40;359.95001220703125;42.650001525878906;50.0;0 days 00:00:00;0.13922818
41;359.95001220703125;42.650001525878906;50.0;0 days 01:00:00;0.09434764
42;359.95001220703125;42.54999923706055;50.0;0 days 00:00:00;0.33021054
43;359.95001220703125;42.54999923706055;50.0;0 days 01:00:00;0.2663585
44;359.95001220703125;42.45000076293945;50.0;0 days 00:00:00;0.35573766
45;359.95001220703125;42.45000076293945;50.0;0 days 01:00:00;0.62032515
46;359.95001220703125;42.349998474121094;50.0;0 days 00:00:00;0.30336976
47;359.95001220703125;42.349998474121094;50.0;0 days 01:00:00;0.6527978
48;359.95001220703125;42.25;50.0;0 days 00:00:00;0.38816595
49;359.95001220703125;42.25;50.0;0 days 01:00:00;0.54195404
50;359.95001220703125;42.150001525878906;50.0;0 days 00:00:00;0.56468076
51;359.95001220703125;42.150001525878906;50.0;0 days 01:00:00;0.70701844
52;359.95001220703125;42.04999923706055;50.0;0 days 00:00:00;0.53066176
53;359.95001220703125;42.04999923706055;50.0;0 days 01:00:00;0.6995666
54;359.95001220703125;41.95000076293945;50.0;0 days 00:00:00;0.5949552
55;359.95001220703125;41.95000076293945;50.0;0 days 01:00:00;0.68688697
56;359.95001220703125;41.849998474121094;50.0;0 days 00:00:00;0.5918874
57;359.95001220703125;41.849998474121094;50.0;0 days 01:00:00;0.68289286
58;359.95001220703125;41.75;50.0;0 days 00:00:00;0.42522874
59;359.95001220703125;41.75;50.0;0 days 01:00:00;0.4967138
60;359.95001220703125;41.650001525878906;50.0;0 days 00:00:00;0.32326764
61;359.95001220703125;41.650001525878906;50.0;0 days 01:00:00;0.42031088
62;359.95001220703125;41.54999923706055;50.0;0 days 00:00:00;0.3498215
63;359.95001220703125;41.54999923706055;50.0;0 days 01:00:00;0.41135007
64;359.95001220703125;41.45000076293945;50.0;0 days 00:00:00;0.30993518
65;359.95001220703125;41.45000076293945;50.0;0 days 01:00:00;0.4945031
66;359.95001220703125;41.349998474121094;50.0;0 days 00:00:00;0.4018581
67;359.95001220703125;41.349998474121094;50.0;0 days 01:00:00;0.524663
68;359.95001220703125;41.25;50.0;0 days 00:00:00;0.4754357
69;359.95001220703125;41.25;50.0;0 days 01:00:00;0.63684434
70;359.95001220703125;41.150001525878906;50.0;0 days 00:00:00;0.46012083
71;359.95001220703125;41.150001525878906;50.0;0 days 01:00:00;0.54919183
72;359.95001220703125;41.04999923706055;50.0;0 days 00:00:00;0.4233254
73;359.95001220703125;41.04999923706055;50.0;0 days 01:00:00;0.50224715
